Date,price_btc,price_spx,price_tech,ret_btc,ret_spx,ret_tech
,BTC-USD,^GSPC,QQQ,,,
2016-09-01,572.302979,2170.860107,109.332298,-0.005507,-0.000041,0.002577
2016-09-02,575.536987,2179.979980,109.688156,0.005651,0.004201,0.003255
2016-09-06,610.435974,2186.479980,110.371841,0.060637,0.002982,0.006233
2016-09-07,614.544006,2186.159912,110.437393,0.006730,-0.000146,0.000594
2016-09-08,626.315979,2181.300049,109.791199,0.019156,-0.002223,-0.005851
2016-09-09,622.861023,2127.810059,107.028351,-0.005516,-0.024522,-0.025165
2016-09-12,608.242981,2159.040039,108.948288,-0.023469,0.014677,0.017939
2016-09-13,609.241028,2127.020020,107.974274,0.001641,-0.014831,-0.008940
2016-09-14,610.684021,2125.770020,108.489380,0.002369,-0.000588,0.004771
2016-09-15,607.155029,2147.260010,110.175148,-0.005779,0.010109,0.015539
2016-09-16,606.973022,2139.159912,110.122581,-0.000300,-0.003772,-0.000477
2016-09-19,609.226990,2139.120117,109.643753,0.003713,-0.000019,-0.004348
2016-09-20,608.312012,2139.760010,109.850266,-0.001502,0.000299,0.001883
2016-09-21,597.148987,2163.120117,110.930046,-0.018351,0.010917,0.009830
2016-09-22,596.297974,2177.179932,111.812584,-0.001425,0.006500,0.007956
2016-09-23,602.841980,2164.689941,111.099022,0.010974,-0.005737,-0.006382
2016-09-26,608.043030,2146.100098,110.169518,0.008628,-0.008588,-0.008366
2016-09-27,606.166016,2159.929932,111.258644,-0.003087,0.006444,0.009886
2016-09-28,604.728027,2171.370117,111.446426,-0.002372,0.005297,0.001688
2016-09-29,605.692993,2151.129883,110.638977,0.001596,-0.009321,-0.007245
2016-09-30,609.734985,2168.270020,111.465195,0.006673,0.007968,0.007468
2016-10-03,612.132996,2161.199951,111.305588,0.003933,-0.003261,-0.001432
2016-10-04,610.203979,2150.489990,111.136581,-0.003151,-0.004956,-0.001518
2016-10-05,612.510986,2159.729980,111.530922,0.003781,0.004297,0.003548
2016-10-06,613.020996,2160.770020,111.474594,0.000833,0.000482,-0.000505
2016-10-07,617.120972,2153.739990,111.230484,0.006688,-0.003253,-0.002190
2016-10-10,618.994019,2163.659912,111.934647,0.003035,0.004606,0.006331
2016-10-11,641.072021,2136.729980,110.338531,0.035668,-0.012446,-0.014259
2016-10-12,636.192017,2139.179932,110.244667,-0.007612,0.001147,-0.000851
2016-10-13,636.786011,2132.550049,109.850266,0.000934,-0.003099,-0.003578
2016-10-14,640.377991,2132.979980,109.981758,0.005641,0.000202,0.001197
2016-10-17,639.192993,2126.500000,109.681290,-0.001850,-0.003038,-0.002732
2016-10-18,637.960022,2139.600098,110.657753,-0.001929,0.006160,0.008903
2016-10-19,630.520020,2144.290039,110.648369,-0.011662,0.002192,-0.000085
2016-10-20,630.856995,2141.340088,110.516922,0.000534,-0.001376,-0.001188
2016-10-21,632.828003,2141.159912,110.930046,0.003124,-0.000084,0.003738
2016-10-24,653.760986,2151.330078,112.263268,0.033078,0.004750,0.012019
2016-10-25,657.588013,2143.159912,111.906471,0.005854,-0.003798,-0.003178
2016-10-26,678.304016,2139.429932,111.145981,0.031503,-0.001740,-0.006796
2016-10-27,688.312988,2133.040039,110.638977,0.014756,-0.002987,-0.004562
2016-10-28,689.651001,2126.409912,109.944191,0.001944,-0.003108,-0.006280
2016-10-31,700.971985,2126.149902,109.840897,0.016416,-0.000122,-0.000940
2016-11-01,729.793030,2111.719971,109.014717,0.041116,-0.006787,-0.007522
2016-11-02,740.828979,2097.939941,108.141533,0.015122,-0.006526,-0.008010
2016-11-03,688.700012,2088.659912,107.080582,-0.070366,-0.004423,-0.009811
2016-11-04,703.234985,2085.179932,106.705017,0.021105,-0.001666,-0.003507
2016-11-07,703.130981,2131.520020,109.240021,-0.000148,0.022224,0.023757
2016-11-08,709.848022,2139.560059,109.953590,0.009553,0.003772,0.006532
2016-11-09,723.273010,2163.260010,110.460579,0.018912,0.011077,0.004611
2016-11-10,715.533997,2167.479980,108.676697,-0.010700,0.001951,-0.016149
2016-11-11,716.411011,2164.449951,108.723671,0.001226,-0.001398,0.000432
2016-11-14,705.020996,2164.199951,107.625122,-0.015899,-0.000116,-0.010104
2016-11-15,711.619019,2180.389893,109.117966,0.009359,0.007481,0.013871
2016-11-16,744.197998,2176.939941,109.765823,0.045781,-0.001582,0.005937
2016-11-17,740.976990,2187.120117,110.563866,-0.004328,0.004676,0.007270
