Date,price_btc,price_spx,price_tech,price_gold,ret_btc,ret_spx,ret_tech,ret_gold
,BTC-USD,^GSPC,QQQ,GC=F,,,,
2016-06-17,748.908997,2071.219971,99.732681,1292.500000,-0.022705,-0.003258,-0.011721,-0.002778
2016-06-20,737.226013,2083.250000,100.360191,1290.000000,-0.015600,0.005808,0.006292,-0.001934
2016-06-21,666.651978,2088.899902,100.678596,1270.500000,-0.095729,0.002712,0.003173,-0.015116
2016-06-22,596.116028,2085.449951,100.435089,1268.000000,-0.105806,-0.001652,-0.002419,-0.001968
2016-06-23,623.976990,2113.320068,101.868004,1261.199951,0.046737,0.013364,0.014267,-0.005363
2016-06-24,665.299011,2037.410034,97.672279,1320.000000,0.066224,-0.035920,-0.041188,0.046622
2016-06-27,655.275024,2000.540039,95.733643,1322.500000,-0.015067,-0.018097,-0.019848,0.001894
2016-06-28,647.000977,2036.089966,97.831505,1315.300049,-0.012627,0.017770,0.021914,-0.005444
2016-06-29,639.890015,2070.770020,99.564110,1323.900024,-0.010991,0.017033,0.017710,0.006538
2016-06-30,673.336975,2098.860107,100.716049,1318.400024,0.052270,0.013565,0.011570,-0.004154
2016-07-01,676.296021,2102.949951,101.221771,1336.699951,0.004395,0.001949,0.005021,0.013880
2016-07-05,670.627014,2088.550049,100.603653,1356.400024,-0.008382,-0.006847,-0.006107,0.014738
2016-07-06,677.330994,2099.729980,101.427818,1364.900024,0.009997,0.005353,0.008192,0.006267
2016-07-07,640.562012,2097.899902,101.727524,1360.099976,-0.054285,-0.000872,0.002955,-0.003517
2016-07-08,666.523010,2129.899902,103.300873,1356.599976,0.040528,0.015253,0.015466,-0.002573
2016-07-11,647.658997,2137.159912,103.890953,1355.000000,-0.028302,0.003409,0.005712,-0.001179
2016-07-12,664.551025,2152.139893,104.415405,1334.099976,0.026082,0.007009,0.005048,-0.015424
2016-07-13,654.468018,2152.429932,104.162560,1342.400024,-0.015173,0.000135,-0.002422,0.006221
2016-07-14,658.078003,2163.750000,104.874306,1331.300049,0.005516,0.005259,0.006833,-0.008269
2016-07-15,663.255005,2161.739990,104.705750,1326.500000,0.007867,-0.000929,-0.001607,-0.003606
2016-07-18,673.106018,2166.889893,105.398788,1328.400024,0.014853,0.002382,0.006619,0.001432
2016-07-19,672.864014,2163.780029,105.014771,1331.500000,-0.000360,-0.001435,-0.003643,0.002334
2016-07-20,665.684998,2173.020020,106.241661,1318.800049,-0.010669,0.004270,0.011683,-0.009538
2016-07-21,665.012024,2165.169922,105.998177,1330.500000,-0.001011,-0.003613,-0.002292,0.008872
2016-07-22,650.619019,2175.030029,106.438347,1323.099976,-0.021643,0.004554,0.004153,-0.005562
2016-07-25,654.096985,2168.479980,106.447708,1319.300049,0.005346,-0.003011,0.000088,-0.002872
2016-07-26,651.783997,2169.179932,106.569473,1320.699951,-0.003536,0.000323,0.001144,0.001061
2016-07-27,654.351990,2166.580078,107.309334,1326.599976,0.003940,-0.001199,0.006943,0.004467
2016-07-28,655.034973,2170.060059,107.683945,1332.300049,0.001044,0.001606,0.003491,0.004297
2016-07-29,656.992004,2173.600098,107.918083,1349.000000,0.002988,0.001631,0.002174,0.012535
2016-08-01,606.271973,2170.840088,108.489403,1351.400024,-0.077200,-0.001270,0.005294,0.001779
2016-08-02,547.465027,2157.030029,107.665245,1364.400024,-0.096998,-0.006362,-0.007597,0.009620
2016-08-03,566.354980,2163.790039,108.021095,1356.099976,0.034504,0.003134,0.003305,-0.006083
2016-08-04,578.289001,2164.250000,108.330177,1358.800049,0.021072,0.000213,0.002861,0.001991
2016-08-05,575.043030,2182.870117,109.369736,1336.400024,-0.005613,0.008603,0.009596,-0.016485
2016-08-08,591.054016,2180.889893,109.247993,1333.400024,0.027843,-0.000907,-0.001113,-0.002245
2016-08-09,587.801025,2181.739990,109.500816,1339.000000,-0.005504,0.000390,0.002314,0.004200
2016-08-10,592.103027,2175.489990,109.219887,1344.300049,0.007319,-0.002865,-0.002566,0.003958
2016-08-11,589.119995,2185.790039,109.688141,1342.500000,-0.005038,0.004735,0.004287,-0.001339
2016-08-12,587.559021,2184.050049,109.763084,1335.800049,-0.002650,-0.000796,0.000683,-0.004991
2016-08-15,567.239990,2190.149902,110.231331,1340.300049,-0.034582,0.002793,0.004266,0.003369
2016-08-16,577.439026,2178.149902,109.622589,1350.500000,0.017980,-0.005479,-0.005522,0.007610
2016-08-17,573.216003,2182.219971,109.819283,1342.699951,-0.007313,0.001869,0.001794,-0.005776
2016-08-18,574.317993,2187.020020,109.847374,1351.199951,0.001922,0.002200,0.000256,0.006331
2016-08-19,575.630005,2183.870117,109.819283,1340.400024,0.002284,-0.001440,-0.000256,-0.007993
2016-08-22,586.752991,2182.639893,109.903549,1337.699951,0.019323,-0.000563,0.000767,-0.002014
2016-08-23,583.414978,2186.899902,110.100227,1340.599976,-0.005689,0.001952,0.001790,0.002168
2016-08-24,580.182007,2175.439941,109.388466,1324.400024,-0.005541,-0.005240,-0.006465,-0.012084
2016-08-25,577.760986,2172.469971,109.210526,1320.099976,-0.004173,-0.001365,-0.001627,-0.003247
2016-08-26,579.651001,2169.040039,109.369736,1321.500000,0.003271,-0.001579,0.001458,0.001061
2016-08-29,574.106995,2180.379883,109.519554,1322.900024,-0.009564,0.005228,0.001370,0.001059
2016-08-30,577.502991,2176.120117,109.163704,1311.699951,0.005915,-0.001954,-0.003249,-0.008466
2016-08-31,575.471985,2170.949951,109.051315,1306.900024,-0.003517,-0.002376,-0.001030,-0.003659
2016-09-01,572.302979,2170.860107,109.332253,1312.199951,-0.005507,-0.000041,0.002576,0.004055
2016-09-02,575.536987,2179.979980,109.688141,1322.099976,0.005651,0.004201,0.003255,0.007545
2016-09-06,610.435974,2186.479980,110.371849,1349.400024,0.060637,0.002982,0.006233,0.020649
2016-09-07,614.544006,2186.159912,110.437393,1344.300049,0.006730,-0.000146,0.000594,-0.003779
2016-09-08,626.315979,2181.300049,109.791168,1336.800049,0.019156,-0.002223,-0.005852,-0.005579
2016-09-09,622.861023,2127.810059,107.028397,1330.099976,-0.005516,-0.024522,-0.025164,-0.005012
2016-09-12,608.242981,2159.040039,108.948280,1321.000000,-0.023469,0.014677,0.017938,-0.006842
2016-09-13,609.241028,2127.020020,107.974297,1319.000000,0.001641,-0.014831,-0.008940,-0.001514
2016-09-14,610.684021,2125.770020,108.489403,1321.500000,0.002369,-0.000588,0.004771,0.001895
2016-09-15,607.155029,2147.260010,110.175163,1313.500000,-0.005779,0.010109,0.015538,-0.006054
2016-09-16,606.973022,2139.159912,110.122581,1305.800049,-0.000300,-0.003772,-0.000477,-0.005862
2016-09-19,609.226990,2139.120117,109.643753,1313.500000,0.003713,-0.000019,-0.004348,0.005897
2016-09-20,608.312012,2139.760010,109.850304,1313.699951,-0.001502,0.000299,0.001884,0.000152
2016-09-21,597.148987,2163.120117,110.930031,1326.900024,-0.018351,0.010917,0.009829,0.010048
2016-09-22,596.297974,2177.179932,111.812592,1340.400024,-0.001425,0.006500,0.007956,0.010174
2016-09-23,602.841980,2164.689941,111.099052,1337.199951,0.010974,-0.005737,-0.006382,-0.002387
2016-09-26,608.043030,2146.100098,110.169518,1339.699951,0.008628,-0.008588,-0.008367,0.001870
2016-09-27,606.166016,2159.929932,111.258644,1325.900024,-0.003087,0.006444,0.009886,-0.010301
2016-09-28,604.728027,2171.370117,111.446388,1319.400024,-0.002372,0.005297,0.001687,-0.004902
2016-09-29,605.692993,2151.129883,110.638962,1321.699951,0.001596,-0.009321,-0.007245,0.001743
2016-09-30,609.734985,2168.270020,111.465218,1313.300049,0.006673,0.007968,0.007468,-0.006355
2016-10-03,612.132996,2161.199951,111.305557,1309.000000,0.003933,-0.003261,-0.001432,-0.003274
2016-10-04,610.203979,2150.489990,111.136597,1266.300049,-0.003151,-0.004956,-0.001518,-0.032620
2016-10-05,612.510986,2159.729980,111.530937,1265.199951,0.003781,0.004297,0.003548,-0.000869
2016-10-06,613.020996,2160.770020,111.474609,1249.800049,0.000833,0.000482,-0.000505,-0.012172
2016-10-07,617.120972,2153.739990,111.230484,1248.900024,0.006688,-0.003253,-0.002190,-0.000720
2016-10-11,641.072021,2136.729980,110.338516,1253.000000,0.038811,-0.007898,-0.008019,0.003283
2016-10-12,636.192017,2139.179932,110.244652,1251.099976,-0.007612,0.001147,-0.000851,-0.001516
2016-10-13,636.786011,2132.550049,109.850304,1255.000000,0.000934,-0.003099,-0.003577,0.003117
2016-10-14,640.377991,2132.979980,109.981735,1253.099976,0.005641,0.000202,0.001196,-0.001514
2016-10-17,639.192993,2126.500000,109.681313,1254.400024,-0.001850,-0.003038,-0.002732,0.001037
2016-10-18,637.960022,2139.600098,110.657745,1260.800049,-0.001929,0.006160,0.008902,0.005102
2016-10-19,630.520020,2144.290039,110.648369,1267.900024,-0.011662,0.002192,-0.000085,0.005631
2016-10-20,630.856995,2141.340088,110.516899,1265.599976,0.000534,-0.001376,-0.001188,-0.001814
2016-10-21,632.828003,2141.159912,110.930031,1265.900024,0.003124,-0.000084,0.003738,0.000237
2016-10-24,653.760986,2151.330078,112.263245,1262.000000,0.033078,0.004750,0.012019,-0.003081
2016-10-25,657.588013,2143.159912,111.906471,1271.900024,0.005854,-0.003798,-0.003178,0.007845
2016-10-26,678.304016,2139.429932,111.145958,1264.800049,0.031503,-0.001740,-0.006796,-0.005582
2016-10-27,688.312988,2133.040039,110.638962,1267.900024,0.014756,-0.002987,-0.004562,0.002451
2016-10-28,689.651001,2126.409912,109.944199,1275.500000,0.001944,-0.003108,-0.006280,0.005994
2016-10-31,700.971985,2126.149902,109.840919,1271.500000,0.016416,-0.000122,-0.000939,-0.003136
2016-11-01,729.793030,2111.719971,109.014694,1286.400024,0.041116,-0.006787,-0.007522,0.011718
2016-11-02,740.828979,2097.939941,108.141525,1306.800049,0.015122,-0.006526,-0.008010,0.015858
2016-11-03,688.700012,2088.659912,107.080574,1302.099976,-0.070366,-0.004423,-0.009811,-0.003597
2016-11-04,703.234985,2085.179932,106.704994,1303.300049,0.021105,-0.001666,-0.003507,0.000922
2016-11-07,703.130981,2131.520020,109.240051,1278.300049,-0.000148,0.022224,0.023758,-0.019182
2016-11-08,709.848022,2139.560059,109.953575,1273.400024,0.009553,0.003772,0.006532,-0.003833
2016-11-09,723.273010,2163.260010,110.460602,1272.599976,0.018912,0.011077,0.004611,-0.000628
2016-11-10,715.533997,2167.479980,108.676704,1265.500000,-0.010700,0.001951,-0.016150,-0.005579
2016-11-14,705.020996,2164.199951,107.625107,1221.199951,-0.014693,-0.001513,-0.009676,-0.035006
2016-11-15,711.619019,2180.389893,109.117958,1224.000000,0.009359,0.007481,0.013871,0.002293
2016-11-16,744.197998,2176.939941,109.765785,1223.400024,0.045781,-0.001582,0.005937,-0.000490
2016-11-17,740.976990,2187.120117,110.563866,1216.500000,-0.004328,0.004676,0.007271,-0.005640
2016-11-18,751.585022,2181.899902,110.150764,1208.500000,0.014316,-0.002387,-0.003736,-0.006576
2016-11-21,739.247986,2198.179932,111.296219,1209.599976,-0.016415,0.007461,0.010399,0.000910
2016-11-22,751.346985,2202.939941,111.634201,1211.000000,0.016367,0.002165,0.003037,0.001157
2016-11-23,744.593994,2204.719971,111.183540,1189.099976,-0.008988,0.000808,-0.004037,-0.018084
